contract_number,status_date,contract_status,delinquency_bucket,outstanding_balance
CTR000060,2026-03-01,ACTIVE,CURRENT,42482.67
CTR000060,2026-04-01,ACTIVE,CURRENT,41155.08
CTR000060,2026-05-01,ACTIVE,CURRENT,39827.5
CTR000061,2026-01-13,ACTIVE,CURRENT,40061.0
CTR000061,2026-02-01,ACTIVE,CURRENT,39504.6
CTR000061,2026-03-01,ACTIVE,CURRENT,38948.19
CTR000061,2026-04-01,ACTIVE,CURRENT,38391.79
CTR000061,2026-05-01,ACTIVE,CURRENT,37835.39
CTR000062,2023-06-30,ACTIVE,CURRENT,26092.0
CTR000062,2023-07-01,DELINQUENT,31-60,25729.61
CTR000062,2023-08-01,ACTIVE,CURRENT,25367.22
CTR000062,2023-09-01,ACTIVE,CURRENT,25004.83
CTR000062,2023-10-01,ACTIVE,CURRENT,24642.44
CTR000062,2023-11-01,ACTIVE,CURRENT,24280.06
CTR000062,2023-12-01,ACTIVE,CURRENT,23917.67
CTR000062,2024-01-01,ACTIVE,CURRENT,23555.28
CTR000062,2024-02-01,ACTIVE,CURRENT,23192.89
CTR000062,2024-03-01,ACTIVE,CURRENT,22830.5
CTR000062,2024-04-01,ACTIVE,CURRENT,22468.11
CTR000062,2024-05-01,ACTIVE,CURRENT,22105.72
CTR000062,2024-06-01,ACTIVE,CURRENT,21743.33
CTR000062,2024-07-01,ACTIVE,CURRENT,21380.94
CTR000062,2024-08-01,ACTIVE,CURRENT,21018.56
CTR000062,2024-09-01,ACTIVE,CURRENT,20656.17
CTR000062,2024-10-01,ACTIVE,CURRENT,20293.78
CTR000062,2024-11-01,DELINQUENT,31-60,19931.39
CTR000062,2024-12-01,ACTIVE,CURRENT,19569.0
CTR000062,2025-01-01,DELINQUENT,31-60,19206.61
CTR000062,2025-02-01,ACTIVE,CURRENT,18844.22
CTR000062,2025-03-01,ACTIVE,CURRENT,18481.83
CTR000062,2025-04-01,ACTIVE,CURRENT,18119.44
CTR000062,2025-05-01,ACTIVE,CURRENT,17757.06
CTR000063,2024-10-26,ACTIVE,CURRENT,54238.0
CTR000063,2024-11-01,DELINQUENT,61-90,53334.03
CTR000063,2024-12-01,ACTIVE,CURRENT,52430.07
CTR000063,2025-01-01,ACTIVE,CURRENT,51526.1
CTR000063,2025-02-01,ACTIVE,CURRENT,50622.13
CTR000063,2025-03-01,ACTIVE,CURRENT,49718.17
CTR000063,2025-04-01,ACTIVE,CURRENT,48814.2
CTR000063,2025-05-01,DELINQUENT,61-90,47910.23
CTR000063,2025-06-01,ACTIVE,CURRENT,47006.27
CTR000063,2025-07-01,ACTIVE,CURRENT,46102.3
CTR000063,2025-08-01,ACTIVE,CURRENT,45198.33
CTR000063,2025-09-01,ACTIVE,CURRENT,44294.37
CTR000063,2025-10-01,ACTIVE,CURRENT,43390.4
CTR000063,2025-11-01,ACTIVE,CURRENT,42486.43
CTR000063,2025-12-01,ACTIVE,CURRENT,41582.47
CTR000063,2026-01-01,ACTIVE,CURRENT,40678.5
CTR000063,2026-02-01,ACTIVE,CURRENT,39774.53
CTR000063,2026-03-01,ACTIVE,CURRENT,38870.57
CTR000063,2026-04-01,ACTIVE,CURRENT,37966.6
CTR000063,2026-05-01,ACTIVE,CURRENT,37062.63
CTR000064,2025-02-25,DELINQUENT,31-60,15892.0
CTR000064,2025-03-01,ACTIVE,CURRENT,15627.13
CTR000064,2025-04-01,ACTIVE,CURRENT,15362.27
CTR000064,2025-05-01,ACTIVE,CURRENT,15097.4
CTR000064,2025-06-01,ACTIVE,CURRENT,14832.53
CTR000064,2025-07-01,ACTIVE,CURRENT,14567.67
CTR000064,2025-08-01,ACTIVE,CURRENT,14302.8
CTR000064,2025-09-01,DELINQUENT,31-60,14037.93
CTR000064,2025-10-01,ACTIVE,CURRENT,13773.07
CTR000064,2025-11-01,DELINQUENT,61-90,13508.2
CTR000064,2025-12-01,DELINQUENT,31-60,13243.33
CTR000064,2026-01-01,ACTIVE,CURRENT,12978.47
CTR000064,2026-02-01,ACTIVE,CURRENT,12713.6
CTR000064,2026-03-01,DELINQUENT,61-90,12448.73
CTR000064,2026-04-01,ACTIVE,CURRENT,12183.87
CTR000064,2026-05-01,ACTIVE,CURRENT,11919.0
CTR000065,2023-09-18,ACTIVE,CURRENT,34282.0
CTR000065,2023-10-01,ACTIVE,CURRENT,33567.79
CTR000065,2023-11-01,DELINQUENT,31-60,32853.58
CTR000065,2023-12-01,DELINQUENT,31-60,32139.37
CTR000065,2024-01-01,DELINQUENT,1-30,31425.17
CTR000065,2024-02-01,ACTIVE,CURRENT,30710.96
CTR000065,2024-03-01,DELINQUENT,31-60,29996.75
CTR000065,2024-04-01,ACTIVE,CURRENT,29282.54
CTR000065,2024-05-01,ACTIVE,CURRENT,28568.33
CTR000065,2024-06-01,ACTIVE,CURRENT,27854.13
CTR000065,2024-07-01,ACTIVE,CURRENT,27139.92
CTR000065,2024-08-01,ACTIVE,CURRENT,26425.71
CTR000065,2024-09-01,ACTIVE,CURRENT,25711.5
CTR000065,2024-10-01,DELINQUENT,31-60,24997.29
CTR000065,2024-11-01,ACTIVE,CURRENT,24283.08
CTR000065,2024-12-01,ACTIVE,CURRENT,23568.88
CTR000065,2025-01-01,ACTIVE,CURRENT,22854.67
CTR000065,2025-02-01,ACTIVE,CURRENT,22140.46
CTR000065,2025-03-01,ACTIVE,CURRENT,21426.25
CTR000065,2025-04-01,ACTIVE,CURRENT,20712.04
CTR000065,2025-05-01,ACTIVE,CURRENT,19997.83
CTR000065,2025-06-01,ACTIVE,CURRENT,19283.63
CTR000065,2025-07-01,ACTIVE,CURRENT,18569.42
CTR000065,2025-08-01,ACTIVE,CURRENT,17855.21
CTR000066,2023-12-08,ACTIVE,CURRENT,69356.0
CTR000066,2024-01-01,ACTIVE,CURRENT,67429.44
CTR000066,2024-02-01,ACTIVE,CURRENT,65502.89
CTR000066,2024-03-01,ACTIVE,CURRENT,63576.33
CTR000066,2024-04-01,ACTIVE,CURRENT,61649.78
CTR000066,2024-05-01,ACTIVE,CURRENT,59723.22
CTR000066,2024-06-01,ACTIVE,CURRENT,57796.67
CTR000066,2024-07-01,ACTIVE,CURRENT,55870.11
CTR000066,2024-08-01,ACTIVE,CURRENT,53943.56
CTR000066,2024-09-01,ACTIVE,CURRENT,52017.0
CTR000066,2024-10-01,ACTIVE,CURRENT,50090.44
CTR000066,2024-11-01,ACTIVE,CURRENT,48163.89
CTR000066,2024-12-01,ACTIVE,CURRENT,46237.33
CTR000066,2025-01-01,ACTIVE,CURRENT,44310.78
CTR000066,2025-02-01,ACTIVE,CURRENT,42384.22
CTR000066,2025-03-01,ACTIVE,CURRENT,40457.67
CTR000066,2025-04-01,ACTIVE,CURRENT,38531.11
CTR000066,2025-05-01,ACTIVE,CURRENT,36604.56
CTR000066,2025-06-01,ACTIVE,CURRENT,34678.0
CTR000066,2025-07-01,ACTIVE,CURRENT,32751.44
CTR000066,2025-08-01,DELINQUENT,31-60,30824.89
CTR000066,2025-09-01,ACTIVE,CURRENT,28898.33
CTR000066,2025-10-01,ACTIVE,CURRENT,26971.78
CTR000066,2025-11-01,ACTIVE,CURRENT,25045.22
CTR000067,2025-08-25,ACTIVE,CURRENT,19375.0
CTR000067,2025-09-01,ACTIVE,CURRENT,18836.81
CTR000067,2025-10-01,ACTIVE,CURRENT,18298.61
CTR000067,2025-11-01,ACTIVE,CURRENT,17760.42
CTR000067,2025-12-01,ACTIVE,CURRENT,17222.22
CTR000067,2026-01-01,DELINQUENT,31-60,16684.03
CTR000067,2026-02-01,ACTIVE,CURRENT,16145.83
CTR000067,2026-03-01,ACTIVE,CURRENT,15607.64
CTR000067,2026-04-01,ACTIVE,CURRENT,15069.44
CTR000067,2026-05-01,ACTIVE,CURRENT,14531.25
CTR000068,2023-08-17,ACTIVE,CURRENT,33349.0
CTR000068,2023-09-01,ACTIVE,CURRENT,32885.82
CTR000068,2023-10-01,ACTIVE,CURRENT,32422.64
CTR000068,2023-11-01,ACTIVE,CURRENT,31959.46
CTR000068,2023-12-01,ACTIVE,CURRENT,31496.28
CTR000068,2024-01-01,ACTIVE,CURRENT,31033.1
CTR000068,2024-02-01,ACTIVE,CURRENT,30569.92
CTR000068,2024-03-01,ACTIVE,CURRENT,30106.74
CTR000068,2024-04-01,ACTIVE,CURRENT,29643.56
CTR000068,2024-05-01,ACTIVE,CURRENT,29180.38
CTR000068,2024-06-01,ACTIVE,CURRENT,28717.19
CTR000068,2024-07-01,DELINQUENT,1-30,28254.01
CTR000068,2024-08-01,ACTIVE,CURRENT,27790.83
CTR000068,2024-09-01,ACTIVE,CURRENT,27327.65
CTR000068,2024-10-01,ACTIVE,CURRENT,26864.47
CTR000068,2024-11-01,ACTIVE,CURRENT,26401.29
CTR000068,2024-12-01,ACTIVE,CURRENT,25938.11
CTR000068,2025-01-01,ACTIVE,CURRENT,25474.93
CTR000068,2025-02-01,ACTIVE,CURRENT,25011.75
CTR000068,2025-03-01,DELINQUENT,31-60,24548.57
CTR000068,2025-04-01,ACTIVE,CURRENT,24085.39
CTR000068,2025-05-01,ACTIVE,CURRENT,23622.21
CTR000068,2025-06-01,ACTIVE,CURRENT,23159.03
CTR000068,2025-07-01,ACTIVE,CURRENT,22695.85
CTR000069,2023-10-31,ACTIVE,CURRENT,72318.0
CTR000069,2023-11-01,ACTIVE,CURRENT,70811.38
CTR000069,2023-12-01,ACTIVE,CURRENT,69304.75
CTR000069,2024-01-01,ACTIVE,CURRENT,67798.12
CTR000069,2024-02-01,ACTIVE,CURRENT,66291.5
CTR000069,2024-03-01,ACTIVE,CURRENT,64784.88
CTR000069,2024-04-01,DELINQUENT,1-30,63278.25
CTR000069,2024-05-01,ACTIVE,CURRENT,61771.62
CTR000069,2024-06-01,ACTIVE,CURRENT,60265.0
CTR000069,2024-07-01,ACTIVE,CURRENT,58758.38
CTR000069,2024-08-01,ACTIVE,CURRENT,57251.75
CTR000069,2024-09-01,ACTIVE,CURRENT,55745.12
CTR000069,2024-10-01,ACTIVE,CURRENT,54238.5
CTR000069,2024-11-01,ACTIVE,CURRENT,52731.88
CTR000069,2024-12-01,DELINQUENT,31-60,51225.25
CTR000069,2025-01-01,DELINQUENT,1-30,49718.62
CTR000069,2025-02-01,ACTIVE,CURRENT,48212.0
CTR000069,2025-03-01,ACTIVE,CURRENT,46705.38
CTR000069,2025-04-01,ACTIVE,CURRENT,45198.75
CTR000069,2025-05-01,ACTIVE,CURRENT,43692.12
CTR000069,2025-06-01,ACTIVE,CURRENT,42185.5
CTR000069,2025-07-01,ACTIVE,CURRENT,40678.88
CTR000069,2025-08-01,ACTIVE,CURRENT,39172.25
CTR000069,2025-09-01,DELINQUENT,31-60,37665.62
CTR000070,2025-09-13,ACTIVE,CURRENT,69961.0
CTR000070,2025-10-01,ACTIVE,CURRENT,68989.32
CTR000070,2025-11-01,ACTIVE,CURRENT,68017.64
CTR000070,2025-12-01,ACTIVE,CURRENT,67045.96
CTR000070,2026-01-01,ACTIVE,CURRENT,66074.28
CTR000070,2026-02-01,ACTIVE,CURRENT,65102.6
CTR000070,2026-03-01,ACTIVE,CURRENT,64130.92
CTR000070,2026-04-01,ACTIVE,CURRENT,63159.24
CTR000070,2026-05-01,ACTIVE,CURRENT,62187.56
CTR000071,2025-09-08,ACTIVE,CURRENT,57437.0
CTR000071,2025-10-01,ACTIVE,CURRENT,55841.53
CTR000071,2025-11-01,ACTIVE,CURRENT,54246.06
CTR000071,2025-12-01,ACTIVE,CURRENT,52650.58
CTR000071,2026-01-01,ACTIVE,CURRENT,51055.11
CTR000071,2026-02-01,ACTIVE,CURRENT,49459.64
CTR000071,2026-03-01,ACTIVE,CURRENT,47864.17
CTR000071,2026-04-01,ACTIVE,CURRENT,46268.69
CTR000071,2026-05-01,ACTIVE,CURRENT,44673.22
CTR000072,2026-02-08,ACTIVE,CURRENT,70874.0
CTR000072,2026-03-01,ACTIVE,CURRENT,68905.28
CTR000072,2026-04-01,ACTIVE,CURRENT,66936.56
CTR000072,2026-05-01,ACTIVE,CURRENT,64967.83
CTR000073,2023-07-06,ACTIVE,CURRENT,17916.0
CTR000073,2023-08-01,ACTIVE,CURRENT,17418.33
CTR000073,2023-09-01,ACTIVE,CURRENT,16920.67
CTR000073,2023-10-01,ACTIVE,CURRENT,16423.0
CTR000073,2023-11-01,ACTIVE,CURRENT,15925.33
CTR000073,2023-12-01,ACTIVE,CURRENT,15427.67
CTR000073,2024-01-01,ACTIVE,CURRENT,14930.0
CTR000073,2024-02-01,ACTIVE,CURRENT,14432.33
CTR000073,2024-03-01,ACTIVE,CURRENT,13934.67
CTR000073,2024-04-01,ACTIVE,CURRENT,13437.0
CTR000073,2024-05-01,ACTIVE,CURRENT,12939.33
CTR000073,2024-06-01,ACTIVE,CURRENT,12441.67
CTR000073,2024-07-01,ACTIVE,CURRENT,11944.0
CTR000073,2024-08-01,ACTIVE,CURRENT,11446.33
CTR000073,2024-09-01,ACTIVE,CURRENT,10948.67
CTR000073,2024-10-01,ACTIVE,CURRENT,10451.0
CTR000073,2024-11-01,ACTIVE,CURRENT,9953.33
CTR000073,2024-12-01,ACTIVE,CURRENT,9455.67
CTR000073,2025-01-01,ACTIVE,CURRENT,8958.0
CTR000073,2025-02-01,ACTIVE,CURRENT,8460.33
CTR000073,2025-03-01,ACTIVE,CURRENT,7962.67
CTR000073,2025-04-01,ACTIVE,CURRENT,7465.0
CTR000073,2025-05-01,DELINQUENT,31-60,6967.33
CTR000073,2025-06-01,DELINQUENT,61-90,6469.67
CTR000074,2023-07-17,ACTIVE,CURRENT,20663.0
CTR000074,2023-08-01,ACTIVE,CURRENT,20318.62
CTR000074,2023-09-01,ACTIVE,CURRENT,19974.23
CTR000074,2023-10-01,ACTIVE,CURRENT,19629.85
CTR000074,2023-11-01,ACTIVE,CURRENT,19285.47
CTR000074,2023-12-01,ACTIVE,CURRENT,18941.08
CTR000074,2024-01-01,ACTIVE,CURRENT,18596.7
CTR000074,2024-02-01,ACTIVE,CURRENT,18252.32
CTR000074,2024-03-01,ACTIVE,CURRENT,17907.93
CTR000074,2024-04-01,ACTIVE,CURRENT,17563.55
CTR000074,2024-05-01,ACTIVE,CURRENT,17219.17
CTR000074,2024-06-01,ACTIVE,CURRENT,16874.78
CTR000074,2024-07-01,ACTIVE,CURRENT,16530.4
CTR000074,2024-08-01,ACTIVE,CURRENT,16186.02
CTR000074,2024-09-01,ACTIVE,CURRENT,15841.63
CTR000074,2024-10-01,ACTIVE,CURRENT,15497.25
CTR000074,2024-11-01,DELINQUENT,61-90,15152.87
CTR000074,2024-12-01,ACTIVE,CURRENT,14808.48
CTR000074,2025-01-01,ACTIVE,CURRENT,14464.1
CTR000074,2025-02-01,DELINQUENT,61-90,14119.72
CTR000074,2025-03-01,ACTIVE,CURRENT,13775.33
CTR000074,2025-04-01,ACTIVE,CURRENT,13430.95
CTR000074,2025-05-01,ACTIVE,CURRENT,13086.57
CTR000074,2025-06-01,ACTIVE,CURRENT,12742.18
CTR000075,2024-08-21,ACTIVE,CURRENT,24202.0
CTR000075,2024-09-01,ACTIVE,CURRENT,23865.86
CTR000075,2024-10-01,ACTIVE,CURRENT,23529.72
CTR000075,2024-11-01,DELINQUENT,61-90,23193.58
CTR000075,2024-12-01,ACTIVE,CURRENT,22857.44
CTR000075,2025-01-01,ACTIVE,CURRENT,22521.31
CTR000075,2025-02-01,ACTIVE,CURRENT,22185.17
CTR000075,2025-03-01,ACTIVE,CURRENT,21849.03
CTR000075,2025-04-01,ACTIVE,CURRENT,21512.89
CTR000075,2025-05-01,ACTIVE,CURRENT,21176.75
CTR000075,2025-06-01,ACTIVE,CURRENT,20840.61
CTR000075,2025-07-01,ACTIVE,CURRENT,20504.47
CTR000075,2025-08-01,ACTIVE,CURRENT,20168.33
CTR000075,2025-09-01,ACTIVE,CURRENT,19832.19
CTR000075,2025-10-01,ACTIVE,CURRENT,19496.06
CTR000075,2025-11-01,DELINQUENT,1-30,19159.92
CTR000075,2025-12-01,ACTIVE,CURRENT,18823.78
CTR000075,2026-01-01,ACTIVE,CURRENT,18487.64
CTR000075,2026-02-01,ACTIVE,CURRENT,18151.5
CTR000075,2026-03-01,ACTIVE,CURRENT,17815.36
CTR000075,2026-04-01,ACTIVE,CURRENT,17479.22
CTR000075,2026-05-01,ACTIVE,CURRENT,17143.08
CTR000076,2025-01-02,ACTIVE,CURRENT,49278.0
CTR000076,2025-02-01,ACTIVE,CURRENT,47909.17
CTR000076,2025-03-01,ACTIVE,CURRENT,46540.33
CTR000076,2025-04-01,ACTIVE,CURRENT,45171.5
CTR000076,2025-05-01,ACTIVE,CURRENT,43802.67
CTR000076,2025-06-01,ACTIVE,CURRENT,42433.83
CTR000076,2025-07-01,ACTIVE,CURRENT,41065.0
CTR000076,2025-08-01,ACTIVE,CURRENT,39696.17
CTR000076,2025-09-01,ACTIVE,CURRENT,38327.33
CTR000076,2025-10-01,ACTIVE,CURRENT,36958.5
CTR000076,2025-11-01,ACTIVE,CURRENT,35589.67
CTR000076,2025-12-01,ACTIVE,CURRENT,34220.83
CTR000076,2026-01-01,ACTIVE,CURRENT,32852.0
CTR000076,2026-02-01,ACTIVE,CURRENT,31483.17
CTR000076,2026-03-01,ACTIVE,CURRENT,30114.33
CTR000076,2026-04-01,ACTIVE,CURRENT,28745.5
CTR000076,2026-05-01,ACTIVE,CURRENT,27376.67
CTR000077,2024-03-25,ACTIVE,CURRENT,45650.0
CTR000077,2024-04-01,DELINQUENT,1-30,44381.94
CTR000077,2024-05-01,ACTIVE,CURRENT,43113.89
CTR000077,2024-06-01,ACTIVE,CURRENT,41845.83
CTR000077,2024-07-01,DELINQUENT,1-30,40577.78
CTR000077,2024-08-01,ACTIVE,CURRENT,39309.72
CTR000077,2024-09-01,ACTIVE,CURRENT,38041.67
CTR000077,2024-10-01,ACTIVE,CURRENT,36773.61
CTR000077,2024-11-01,ACTIVE,CURRENT,35505.56
CTR000077,2024-12-01,ACTIVE,CURRENT,34237.5
CTR000077,2025-01-01,ACTIVE,CURRENT,32969.44
CTR000077,2025-02-01,ACTIVE,CURRENT,31701.39
CTR000077,2025-03-01,ACTIVE,CURRENT,30433.33
CTR000077,2025-04-01,ACTIVE,CURRENT,29165.28
CTR000077,2025-05-01,ACTIVE,CURRENT,27897.22
CTR000077,2025-06-01,ACTIVE,CURRENT,26629.17
CTR000077,2025-07-01,ACTIVE,CURRENT,25361.11
CTR000077,2025-08-01,DELINQUENT,1-30,24093.06
CTR000077,2025-09-01,ACTIVE,CURRENT,22825.0
CTR000077,2025-10-01,ACTIVE,CURRENT,21556.94
CTR000077,2025-11-01,ACTIVE,CURRENT,20288.89
CTR000077,2025-12-01,ACTIVE,CURRENT,19020.83
CTR000077,2026-01-01,ACTIVE,CURRENT,17752.78
CTR000077,2026-02-01,DELINQUENT,1-30,16484.72
CTR000078,2025-09-14,ACTIVE,CURRENT,57459.0
CTR000078,2025-10-01,ACTIVE,CURRENT,56261.94
CTR000078,2025-11-01,DELINQUENT,61-90,55064.88
CTR000078,2025-12-01,DELINQUENT,31-60,53867.81
CTR000078,2026-01-01,ACTIVE,CURRENT,52670.75
CTR000078,2026-02-01,ACTIVE,CURRENT,51473.69
CTR000078,2026-03-01,ACTIVE,CURRENT,50276.62
CTR000078,2026-04-01,ACTIVE,CURRENT,49079.56
CTR000078,2026-05-01,DELINQUENT,61-90,47882.5
CTR000080,2024-09-24,ACTIVE,CURRENT,27097.0
CTR000080,2024-10-01,DELINQUENT,61-90,26645.38
CTR000080,2024-11-01,DELINQUENT,31-60,26193.77
CTR000080,2024-12-01,DELINQUENT,1-30,25742.15
CTR000080,2025-01-01,DELINQUENT,1-30,25290.53
CTR000080,2025-02-01,ACTIVE,CURRENT,24838.92
CTR000080,2025-03-01,ACTIVE,CURRENT,24387.3
CTR000080,2025-04-01,ACTIVE,CURRENT,23935.68
CTR000080,2025-05-01,ACTIVE,CURRENT,23484.07
CTR000080,2025-06-01,ACTIVE,CURRENT,23032.45
CTR000080,2025-07-01,ACTIVE,CURRENT,22580.83
CTR000080,2025-08-01,ACTIVE,CURRENT,22129.22
CTR000080,2025-09-01,ACTIVE,CURRENT,21677.6
CTR000080,2025-10-01,ACTIVE,CURRENT,21225.98
CTR000080,2025-11-01,ACTIVE,CURRENT,20774.37
CTR000080,2025-12-01,ACTIVE,CURRENT,20322.75
CTR000080,2026-01-01,ACTIVE,CURRENT,19871.13
CTR000080,2026-02-01,ACTIVE,CURRENT,19419.52
CTR000080,2026-03-01,ACTIVE,CURRENT,18967.9
CTR000080,2026-04-01,ACTIVE,CURRENT,18516.28
CTR000080,2026-05-01,ACTIVE,CURRENT,18064.67
CTR000081,2025-09-14,DELINQUENT,61-90,69483.0
CTR000081,2025-10-01,DELINQUENT,31-60,68517.96
CTR000081,2025-11-01,ACTIVE,CURRENT,67552.92
CTR000081,2025-12-01,ACTIVE,CURRENT,66587.87
CTR000081,2026-01-01,ACTIVE,CURRENT,65622.83
CTR000081,2026-02-01,ACTIVE,CURRENT,64657.79
CTR000081,2026-03-01,ACTIVE,CURRENT,63692.75
CTR000081,2026-04-01,ACTIVE,CURRENT,62727.71
CTR000081,2026-05-01,ACTIVE,CURRENT,61762.67
CTR000082,2023-07-19,ACTIVE,CURRENT,57863.0
CTR000082,2023-08-01,ACTIVE,CURRENT,56898.62
CTR000082,2023-09-01,ACTIVE,CURRENT,55934.23
CTR000082,2023-10-01,ACTIVE,CURRENT,54969.85
CTR000082,2023-11-01,ACTIVE,CURRENT,54005.47
CTR000082,2023-12-01,ACTIVE,CURRENT,53041.08
CTR000082,2024-01-01,ACTIVE,CURRENT,52076.7
CTR000082,2024-02-01,ACTIVE,CURRENT,51112.32
CTR000082,2024-03-01,ACTIVE,CURRENT,50147.93
CTR000082,2024-04-01,DELINQUENT,1-30,49183.55
CTR000082,2024-05-01,ACTIVE,CURRENT,48219.17
CTR000082,2024-06-01,ACTIVE,CURRENT,47254.78
CTR000082,2024-07-01,ACTIVE,CURRENT,46290.4
CTR000082,2024-08-01,ACTIVE,CURRENT,45326.02
CTR000082,2024-09-01,ACTIVE,CURRENT,44361.63
CTR000082,2024-10-01,ACTIVE,CURRENT,43397.25
CTR000082,2024-11-01,ACTIVE,CURRENT,42432.87
CTR000082,2024-12-01,ACTIVE,CURRENT,41468.48
CTR000082,2025-01-01,DELINQUENT,31-60,40504.1
CTR000082,2025-02-01,ACTIVE,CURRENT,39539.72
CTR000082,2025-03-01,ACTIVE,CURRENT,38575.33
CTR000082,2025-04-01,ACTIVE,CURRENT,37610.95
CTR000082,2025-05-01,ACTIVE,CURRENT,36646.57
CTR000082,2025-06-01,ACTIVE,CURRENT,35682.18
CTR000083,2023-08-03,ACTIVE,CURRENT,41507.0
CTR000083,2023-09-01,ACTIVE,CURRENT,40815.22
CTR000083,2023-10-01,DELINQUENT,31-60,40123.43
CTR000083,2023-11-01,ACTIVE,CURRENT,39431.65
CTR000083,2023-12-01,ACTIVE,CURRENT,38739.87
CTR000083,2024-01-01,ACTIVE,CURRENT,38048.08
CTR000083,2024-02-01,ACTIVE,CURRENT,37356.3
CTR000083,2024-03-01,ACTIVE,CURRENT,36664.52
CTR000083,2024-04-01,ACTIVE,CURRENT,35972.73
CTR000083,2024-05-01,ACTIVE,CURRENT,35280.95
CTR000083,2024-06-01,ACTIVE,CURRENT,34589.17
CTR000083,2024-07-01,ACTIVE,CURRENT,33897.38
CTR000083,2024-08-01,ACTIVE,CURRENT,33205.6
CTR000083,2024-09-01,ACTIVE,CURRENT,32513.82
CTR000083,2024-10-01,ACTIVE,CURRENT,31822.03
CTR000083,2024-11-01,ACTIVE,CURRENT,31130.25
CTR000083,2024-12-01,ACTIVE,CURRENT,30438.47
CTR000083,2025-01-01,ACTIVE,CURRENT,29746.68
CTR000083,2025-02-01,ACTIVE,CURRENT,29054.9
CTR000083,2025-03-01,ACTIVE,CURRENT,28363.12
CTR000083,2025-04-01,ACTIVE,CURRENT,27671.33
CTR000083,2025-05-01,ACTIVE,CURRENT,26979.55
CTR000083,2025-06-01,ACTIVE,CURRENT,26287.77
CTR000083,2025-07-01,ACTIVE,CURRENT,25595.98
CTR000084,2023-09-15,ACTIVE,CURRENT,67587.0
CTR000084,2023-10-01,ACTIVE,CURRENT,66178.94
CTR000084,2023-11-01,ACTIVE,CURRENT,64770.88
CTR000084,2023-12-01,ACTIVE,CURRENT,63362.81
CTR000084,2024-01-01,ACTIVE,CURRENT,61954.75
CTR000084,2024-02-01,ACTIVE,CURRENT,60546.69
CTR000084,2024-03-01,ACTIVE,CURRENT,59138.62
CTR000084,2024-04-01,ACTIVE,CURRENT,57730.56
CTR000084,2024-05-01,ACTIVE,CURRENT,56322.5
CTR000084,2024-06-01,ACTIVE,CURRENT,54914.44
CTR000084,2024-07-01,ACTIVE,CURRENT,53506.38
CTR000084,2024-08-01,ACTIVE,CURRENT,52098.31
CTR000084,2024-09-01,ACTIVE,CURRENT,50690.25
CTR000084,2024-10-01,ACTIVE,CURRENT,49282.19
CTR000084,2024-11-01,DELINQUENT,1-30,47874.12
CTR000084,2024-12-01,ACTIVE,CURRENT,46466.06
CTR000084,2025-01-01,ACTIVE,CURRENT,45058.0
CTR000084,2025-02-01,ACTIVE,CURRENT,43649.94
CTR000084,2025-03-01,ACTIVE,CURRENT,42241.88
CTR000084,2025-04-01,ACTIVE,CURRENT,40833.81
CTR000084,2025-05-01,ACTIVE,CURRENT,39425.75
CTR000084,2025-06-01,ACTIVE,CURRENT,38017.69
CTR000084,2025-07-01,ACTIVE,CURRENT,36609.62
CTR000084,2025-08-01,ACTIVE,CURRENT,35201.56
CTR000085,2024-02-29,ACTIVE,CURRENT,55273.0
CTR000085,2024-03-01,ACTIVE,CURRENT,54351.78
CTR000085,2024-04-01,ACTIVE,CURRENT,53430.57
CTR000085,2024-05-01,ACTIVE,CURRENT,52509.35
CTR000085,2024-06-01,ACTIVE,CURRENT,51588.13
CTR000085,2024-07-01,ACTIVE,CURRENT,50666.92
CTR000085,2024-08-01,ACTIVE,CURRENT,49745.7
CTR000085,2024-09-01,ACTIVE,CURRENT,48824.48
CTR000085,2024-10-01,ACTIVE,CURRENT,47903.27
CTR000085,2024-11-01,ACTIVE,CURRENT,46982.05
CTR000085,2024-12-01,ACTIVE,CURRENT,46060.83
CTR000085,2025-01-01,ACTIVE,CURRENT,45139.62
CTR000085,2025-02-01,ACTIVE,CURRENT,44218.4
CTR000085,2025-03-01,DELINQUENT,61-90,43297.18
CTR000085,2025-04-01,ACTIVE,CURRENT,42375.97
CTR000085,2025-05-01,ACTIVE,CURRENT,41454.75
CTR000085,2025-06-01,ACTIVE,CURRENT,40533.53
CTR000085,2025-07-01,ACTIVE,CURRENT,39612.32
CTR000085,2025-08-01,ACTIVE,CURRENT,38691.1
CTR000085,2025-09-01,ACTIVE,CURRENT,37769.88
CTR000085,2025-10-01,ACTIVE,CURRENT,36848.67
CTR000085,2025-11-01,ACTIVE,CURRENT,35927.45
CTR000085,2025-12-01,ACTIVE,CURRENT,35006.23
CTR000085,2026-01-01,ACTIVE,CURRENT,34085.02
CTR000086,2024-09-13,ACTIVE,CURRENT,16542.0
CTR000086,2024-10-01,ACTIVE,CURRENT,16312.25
CTR000086,2024-11-01,ACTIVE,CURRENT,16082.5
CTR000086,2024-12-01,ACTIVE,CURRENT,15852.75
CTR000086,2025-01-01,ACTIVE,CURRENT,15623.0
CTR000086,2025-02-01,ACTIVE,CURRENT,15393.25
CTR000086,2025-03-01,DELINQUENT,1-30,15163.5
CTR000086,2025-04-01,ACTIVE,CURRENT,14933.75
CTR000086,2025-05-01,ACTIVE,CURRENT,14704.0
CTR000086,2025-06-01,ACTIVE,CURRENT,14474.25
