contract_number,application_id,customer_id,vin,dealer_code,contract_type,apr,term_months,amount_financed,residual_value,start_date,maturity_date
CTR000213,APP000283,C000198,2TS743HWP7C0L0164,D0022,LEASE,4.03,48,33512,17183.13,2023-11-10,2027-10-20
CTR000214,APP000284,C000219,2T1M862X5JX4X0130,D0052,LOAN,7.48,48,70123,0,2023-05-30,2027-05-09
CTR000215,APP000285,C000225,2TCJS98UNM3CA0076,D0022,LEASE,6.84,36,46909,14407.83,2024-06-07,2027-05-23
CTR000216,APP000286,C000124,2TNPKY9U2N4C60257,D0050,LEASE,3.56,48,21854,9160.3,2025-02-15,2029-01-25
CTR000217,APP000287,C000105,2TE736RXR5TWC0322,D0038,LOAN,7.12,48,16174,0,2023-04-07,2027-03-17
CTR000218,APP000288,C000059,2T5S2A4DEU3B90114,D0003,LEASE,6.55,48,49782,23736.65,2025-03-24,2029-03-03
CTR000219,APP000290,C000188,2TVT3L4PL0GVW0087,D0017,LOAN,4.62,36,64113,0,2023-08-12,2026-07-27
CTR000220,APP000292,C000207,2TTBFELKYLN7Z0280,D0013,LOAN,3.43,36,40420,0,2023-07-12,2026-06-26
CTR000221,APP000293,C000199,2TPLN7ER861X00207,D0052,LOAN,8.46,60,48581,0,2025-06-07,2030-05-12
CTR000222,APP000294,C000091,2T0Y3AX6FJGHJ0341,D0002,LEASE,8.83,72,52417,18876.9,2025-07-23,2031-06-22
CTR000223,APP000295,C000031,2TXSW4VCGDWJT0017,D0040,LEASE,4.98,48,37328,17543.94,2026-02-06,2030-01-16
CTR000224,APP000297,C000197,2THMPFRDUWFWW0163,D0022,LOAN,8.06,72,32314,0,2025-02-01,2031-01-01
CTR000225,APP000299,C000230,2TFYLMGB7PJL90127,D0051,LOAN,3.47,48,51778,0,2024-07-01,2028-06-10
